Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Philosophy (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Co-op available by application after first year of studies,42,English
Philosophy (Thunder Bay),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
Philosophy and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Philosophy and Economics,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Philosophy and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Practicum or internship option available,51										The number of students enrolled in all the Philosophy disciplines last year,English
Philosophy and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Social Science, BSocSc",+/- 75 %,Practicum or internship option available,51										The number of students enrolled in all the Philosophy disciplines last year,English
Philosophy with Co-operative Education,University of Windsor,"Bachelor of Arts, BA",N/A,Co-op program,N/A,English
Photography,OCAD University,"Bachelor of Fine Arts, BFA",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Physical & Environmental Sciences (regular and co-op),University of Toronto Scarborough,"Bachelor of Science, BSc","Mid-70s (regular), high 70s (co-op)",Co-op option available with this program,340,English
Physical & Environmental Sciences - Health Sciences Stream (regular and co-op),University of Toronto Scarborough,"Bachelor of Science, BSc","Mid-70s (regular), high 70s (co-op)",Not Available,340,English
Physical Education,Brock University,"Bachelor of Physical Education, BPhEd",Mid-70s,Practicum or internship option available,817										(total all Applied Health Sciences programs),English
Physical Geography and Geomatics (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA
Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 75 %; co-op 80%,Co-op option available with this program,10,English
Physical Sciences (Regular/Co-op),University of Waterloo,"Bachelor of Science, BSc",Low 80s,Co-op option available with this program,246,English
Physical and Mathematical Sciences,University of Toronto,"Bachelor of Science, BSc",Mid-80s,Co-op available by major,N/A,English
Physics,Brock University,"Bachelor of Science, BSc",Mid-70s,Co-op option available with this program,379										(total for all Mathematics and Science programs),English
Physics,University of Windsor,"Bachelor of Science, BSc",70-88%,Co-op option available with this program,No limit,English
Physics,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Physics,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Physics & Astronomy (BSc),York University,"Bachelor of Science, BSc",High 70s to mid-80s,Co-op or internship option available,40										Open,English
Physics (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78 %; co-op 80%,Co-op option available with this program,43,English
Physics (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 70s,Co-op program,300,English
Physics (Thunder Bay),Lakehead University,"Bachelor of Science, BSc",70%,Co-op option available with this program,Open Enrollment,English
Physics and Electrical Engineering (Double degree – 5 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)
Bachelor of Science/Bachelor of Applied Science, BSc/BASc
Bachelor of Science (Co-op), BSc (Co-op)",80%,Co-op option available with this program,43										The number of students enrolled in all the Physics disciplines last year,English
Physics and Mathematics (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78 %; co-op 80%,Co-op option available with this program,10,English
Planning (Co-op Only),University of Waterloo,"Bachelor of Environmental Studies, BES",Low 80s,Co-op program,180,English
Policing & Community Well-Being,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",75% minimum,Practicum or internship option available,30,English
Policing (BA in combination),Wilfrid Laurier University,"Bachelor of Arts, BA",Low 70s,Not Available,592										(all online programs combined),English
Policing (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Class-based experiential education,592										(all online programs combined),English
Policing (Online) & Psychology (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Low 70s,Co-op or internship application available at the university after registration,592										(all Faculty of Human and Social Sciences programs combined),English
Policing (Online) & Psychology (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Low 70s,Class-based experiential education,626										(all Faculty of Human and Social Sciences programs combined),English
Policing in Society,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op available with a different program code,N/A,English
Policing in Society (Co-op),Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op program,N/A,English
Political Science,Brock University,"Bachelor of Arts, BA
Diploma, Dipl.",Mid-70s,Co-op option available with this program,"1,364										(total for all Social Science programs)",English
Political Science,University of Windsor,"Bachelor of Arts, BA",70-84% minimum,Co-op option available with this program,N/A,English
Political Science,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,500,English
Political Science (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,240										The number of students enrolled in all the Political Science disciplines last year,English
Political Science (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Political Science (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
"Political Science (BA, iBA)",York University,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to High 70s,Practicum or internship option available,20										Open,English
Political Science (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Political Science (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Class-based experiential education,400										(total for all programs),English & French
Political Science (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",80%,Co-op program,20,English
Political Science and Juris Doctor (French Immersion Stream is available),University of Ottawa,"Bachelor of Social Science, BSocSc",85%,Practicum or internship option available,20,English
Political Science/Pre-Law (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
Political Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Political Studies and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Political Studies and Forensics,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Politics and Governance (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Co-op available by application after first year of studies,130,English
Post-Baccalaureate Certificate in Computer Science,Wilfrid Laurier University,"Certificate, Cert",High-70s,Not Available,"7,863										(all Faculty of Science programs combined)",English
Pre-Engineering,Ontario Tech University,"N/A, N/A",N/A,Not Available,N/A,English
Printmaking & Publications,OCAD University,"Bachelor of Fine Arts, BFA",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Professional Communication (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,145,English
Professional Music,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Fine Arts, BFA",Low 80s,Practicum or internship option available,50,English
Professional Translation (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid to high 70s,Practicum or internship option available,400										(total for all programs),English & French
Professional Writing (BA),York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,Open,English
Psychology,University of Windsor,"Bachelor of Arts, BA",70-84%,Co-op option available with this program,N/A,English
Psychology,University of Toronto Mississauga,"Bachelor of Science, BSc",Mid to high 70s,Practicum or internship option available,200,English
Psychology & Health Studies (regular and co-op),University of Toronto Scarborough,"Bachelor of Science, BSc",High 70s (regular); low 80s (co-op),Co-op option available with this program,515,English
Psychology & Health Studies - Health Sciences Stream (regular and co-op),University of Toronto Scarborough,"Bachelor of Science, BSc",High 70s (regular); low 80s (co-op),Not Available,515,English
Psychology & Sociology,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70%,Practicum or internship option available,200,English
Psychology (B.A.),Laurentian University,"Bachelor of Arts, BA",70%,Faculty research opportunity,Open,English
Psychology (B.Sc.),Laurentian University,"Bachelor of Science, BSc",70%,Faculty research opportunity,Open,English
Psychology (BA 3 year),Algoma University,"Bachelor of Arts, BA",70%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Psychology (BA 4 year),Algoma University,"Bachelor of Arts, BA",70%+,Co-op or internship application available at the university after registration,Open,English
Psychology (BA in Combination),Wilfrid Laurier University – Milton Campus,"Bachelor of Arts, BA",Mid-70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Psychology (BA),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Psychology (BA),Brock University,"Bachelor of Arts, BA
Diploma, Dipl.",Mid-70s; co-op low 80s,Co-op option available with this program,"1,364										(total for all Social Science programs)",English
Psychology (BA),Wilfrid Laurier University,"Bachelor of Arts, BA",Mid-70s,Co-op or internship application available at the university after registration,"7,811										(all Faculty of Science programs combined)",English
Psychology (BA),Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Not Available,200,English
Psychology (BA),Wilfrid Laurier University – Milton Campus,"Bachelor of Arts, BA",Mid-70s,Class-based experiential education,"7,863										(all Faculty of Science programs combined)",English
Psychology (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",Mid-70s,Class-based experiential education,592										(all Faculty of Human and Social Sciences programs combined),English
Psychology (BA),York University,"Bachelor of Arts, BA",Mid-to-High 70s,Class-based experiential education,400										Open,English
Psychology (BA) (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Class-based experiential education,383										The number of students enrolled in all the Psychology disciplines last year,English
Psychology (BA) (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Practicum or internship option available,400										(total for all programs),English & French
Psychology (BSc 4 year),Algoma University,"Bachelor of Science, BSc",70%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Psychology (BSc),York University,"Bachelor of Science, BSc",Mid-to-High 70s,Faculty research opportunity,350										Open,English
Psychology (BSc),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Psychology (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Mid-70s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Psychology (BSc),Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70% minimum,Not Available,200,English
Psychology (BSc),Wilfrid Laurier University – Brantford Campus,"Bachelor of Science, BSc",Mid-70s,Class-based experiential education,"7,863										(all Faculty of Science programs combined)",English
Psychology (BSc),Brock University,"Bachelor of Science, BSc",Mid-70s; co-op low 80s,Co-op option available with this program,"1,364										(total for all Social Science programs)",English
Psychology (BSc) (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc",+/- 75 %,Class-based experiential education,383										The number of students enrolled in all the Psychology disciplines last year,English
Psychology (BSc) (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Science, BSc
International Bachelor of Science, iBSc",Mid- to high 70s,Practicum or internship option available,400										(total for all programs),English & French
Psychology (Brampton) (BA 4 year Non-Honours),Algoma University,"Bachelor of Arts, BA",70%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Psychology (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Mid-80s,Co-op available by application after first year of studies,350,English
Psychology (Science) and Business,Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,"1,600",English
Psychology (Science) and Business,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Psychology (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts, BA
Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Psychology and Business,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Not Available,200,English
Psychology and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Psychology and Economics,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Psychology and Forensics (Arts),Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Psychology and Forensics (Science),Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Psychology and Linguistics (Joint Honours – 4 years),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Class-based experiential education,383										The number of students enrolled in all the Psychology disciplines last year,English
Psychology with Co-operative Education,University of Windsor,"Bachelor of Arts, BA",N/A,Co-op program,10,English
Psychology – Bachelor of Arts,Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,500,English
Psychology – Bachelor of Science,Ontario Tech University,"Bachelor of Science, BSc",Low 70s,Practicum or internship option available,500,English
Public Administration (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,22										The number of students enrolled in all the Public Administration disciplines last year,English
Public Administration (BPA),York University,"Bachelor of Public Administration, BPA",Mid-70s,Co-op or internship option available,40										Open,English
Public Administration and Governance (Honours) (Part-time Studies Only),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,40,English
Public Administration and Political Science (Joint Honours – 4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,22										The number of students enrolled in all the Public Administration disciplines last year,English
Public Affairs and Policy Management – Communication & Policy Studies (regular and co-op),Carleton University,"Bachelor of Public Affairs and Policy Management, BPAPM",80-82%,Co-op option available with this program,100										(total for all BPAPM programs),English
Public Affairs and Policy Management – Development Policy Studies (regular and co-op),Carleton University,"Bachelor of Public Affairs and Policy Management, BPAPM",80-82%,Co-op option available with this program,100										(total for all BPAPM programs),English
Public Affairs and Policy Management – International Policy Studies (regular and co-op),Carleton University,"Bachelor of Public Affairs and Policy Management, BPAPM",80-82%,Co-op option available with this program,120										(total for Public Affairs and Policy Management programs),English
Public Affairs and Policy Management – No concentration (first year only) (regular and co-op),Carleton University,"Bachelor of Public Affairs and Policy Management, BPAPM",80–82%,Co-op option available with this program,100										(total for all BPAPM programs),English
Public Affairs and Policy Management – Public Policy & Administration (regular and co-op),Carleton University,"Bachelor of Public Affairs and Policy Management, BPAPM",80–82%,Co-op option available with this program,100										(total for all BPAPM programs),English
Public Health,Ontario Tech University,"Bachelor of Health Science, BHSc",Mid-70s,Practicum or internship option available,100,English
Public Health,Brock University,"Bachelor of Public Health, BPH",Mid-70s,Co-op option available with this program,665										(total all Applied Health Sciences programs),English
Public Health (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Applied Science, BASc",Low 70s,Co-op available by application after first year of studies,95,English
Public Health (Regular/Co-op),University of Waterloo,"Bachelor of Public Health, BPH",Low 80s for regular system of study; mid-80s for co-op system of study,Co-op option available with this program,52,English
Public Health and Master of Public Health,Brock University,"Bachelor of Public Health, BPH",Low 80s,Co-op or internship option available,665										(total all Applied Health Sciences programs),English
Public Policy - Undergraduate Diploma,Ontario Tech University,"Bachelor of Arts, BA",Mid 70s,Not Available,N/A,English
Public Relations – Joint program with Algonquin College (4 years),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Embedded community engagement/volunteerism/partnership,15,English
Public Safety,Wilfrid Laurier University,"Bachelor of Arts, BA",N/A,Not Available,N/A,English
Public Safety: Advanced Standing (BA),Wilfrid Laurier University – Brantford Campus,"Bachelor of Arts, BA",N/A,Not Available,N/A,English
Quebec & Franco-Canadian Studies (French & Francophone Studies BA),Trent University,"Bachelor of Arts, BA",70%,Practicum or internship option available,200,English
"Recreation & Leisure Studies, Recreation & Sport Business, Therapeutic Recreation (Regular/Co-op)",University of Waterloo,"Bachelor of Arts, BA",Low 80s,Co-op option available with this program,118,English
Recreation and Leisure Studies,Brock University,"Bachelor of Recreation & Leisure Studies, BRLS",Mid-70s,Practicum or internship option available,665										(total all Applied Health Sciences programs),English
Religious Studies (BA),York University,"Bachelor of Arts, BA",Mid-70s,Not Available,20										Open,English
Retail Management (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Low 70s,Co-op option available with this program,94										(total for all Retail Management programs),English
Retail Management Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Low 70s,Co-op program,94										(total for all Retail Management programs),English
Rotman Commerce,University of Toronto,"Bachelor of Commerce, BCom",Mid to high 80s,Co-op or internship option available,N/A,English
Science,Royal Military College of Canada,"Bachelor of Science, BSc",Minimum average of 75%,Not Available,70										(plus 60 transfers from St. Jean),English & French
Science,Queen's University,"Bachelor of Science, BSc",Low 80s,Co-op or internship option available,580,English
Science,Western University,"Bachelor of Science, BSc",Mid 80s,Co-op or internship application available at the university after registration,700,English
Science Honours,Royal Military College of Canada,"Bachelor of Science, BSc",75% average,Not Available,70										Plus 60 from RMC Saint Jean,English
Science One (Thunder Bay and Orillia Campuses),Lakehead University,"Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Science and Aviation,University of Waterloo,"Bachelor of Science, BSc",Low 80s,Practicum or internship option available,60,English
Science and Business,Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",N/A,Not Available,200,English
Science and Business (Regular/Co-op),University of Waterloo,"Bachelor of Science, BSc",Low 80s,Co-op option available with this program,98,English
Science – Honours (4 years) (regular and co-op),Carleton University,"Bachelor of Science, BSc",78–82%,Co-op available by major,440										(total for all Science programs),English
Science – Major (4 years),Carleton University,"Bachelor of Science, BSc",74–76%,Not Available,440										(total for all Science programs),English
Science – Non-Honours (3 years),Carleton University,"Bachelor of Science, BSc",74–76%,Not Available,440										(total for all Science programs),English
"Science, Technology & Society (BA)",York University,"Bachelor of Arts, BA",High 70s to mid-80s,Not Available,20										Open,English
"Science, Technology and Society",Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Co-op available with a different program code,N/A,English
"Science, Technology and Society (Co-op)",Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Sciences,Brock University,"Bachelor of Science, BSc",Mid-70s,Not Available,516										(total for all Mathematics and Science programs),English
Sciences sociales en études interdisciplinaires (4 ans),University of Ottawa,"Bachelor of Social Science, BSocSc",+/- 73 %,Embedded community engagement/volunteerism/partnership,33										The number of students enrolled in all the Sciences sociales en études interdisciplinaires disciplines last year,English
Sculpture/Installation,OCAD University,"Bachelor of Fine Arts, BFA",N/A,Practicum or internship option available,"1,100										(total first year enrollment in all programs)",English
Second Language Teaching (ESL) (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Practicum or internship option available,10,English
Second Language Teaching (FLS) (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts, BA",+/- 75 %,Embedded community engagement/volunteerism/partnership,10,English
Social Communication (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University,"Bachelor of Arts, BA",70% min.,Practicum or internship option available,Open,English
Social Development Studies (Renison University College),University of Waterloo – Renison University College,"Bachelor of Arts, BA",Low 80s,Co-op available by application after first year of studies,75,English
"Social Innovation (Certificate, Part-time Only) (1 year)",University of Ottawa – Saint Paul University,"Certificate, Cert",70% min.,Embedded community engagement/volunteerism/partnership,Open,English
Social Innovation (Honours Bachelor of Arts) (4 years),University of Ottawa – Saint Paul University,"Bachelor of Arts, BA",70% min.,Embedded community engagement/volunteerism/partnership,Open,English
Social Justice and Peace Studies,Western University – King's University College,"Bachelor of Arts, BA",80%,Class-based experiential education,60,English
Social Science,Western University – Huron University College,"Bachelor of Arts, BA",Low to mid-80s,Practicum or internship option available,N/A,English
Social Science,Western University,"Bachelor of Arts, BA
Bachelor of Science, BSc",Low to mid 80s,Co-op or internship application available at the university after registration,"1,050",English
Social Sciences,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,"1,364										(total for all Social Science programs)",English
Social Sciences,Western University – King's University College,"Bachelor of Arts, BA
Bachelor of Social Work, BSW",80%,Class-based experiential education,330,English
Social Sciences,University of Toronto,"Bachelor of Arts, BA",Mid to high 80s,Co-op available by major,N/A,English
Social Sciences,University of Toronto Mississauga,"Bachelor of Arts, BA",Mid to high 70s,Practicum or internship option available,700,English
Social Sciences & Humanities (regular and co-op),University of Toronto Scarborough,"Bachelor of Arts, BA","Mid-70s (regular), high 70s (co-op)",Co-op option available with this program,"1,050",English
Social Sciences I,McMaster University,"Bachelor of Arts, BA
Bachelor of Social Work, BSW",Low to mid-80s,Co-op available by major,855,English
Social Sciences and Humanities Honours,Royal Military College of Canada,"Bachelor of Arts, BA",75% average,Not Available,60										(plus 60 from RMC Saint-Jean),English
Social Sciences and the Humanities,Royal Military College of Canada,"Bachelor of Arts, BA",Minimum average of 75%,Not Available,60										(plus 60 transfers from St. Jean),English & French
Social Sciences in Interdisciplinary studies (3 years),University of Ottawa,"Bachelor of Social Science, BSocSc",+/- 75 %,Embedded community engagement/volunteerism/partnership,52										The number of students enrolled in all the Social Sciences in Interdisciplinary studies disciplines last year,English
Social Sciences in Interdisciplinary studies (4 years),University of Ottawa,"Bachelor of Social Science, BSocSc",+/- 75 %,Embedded community engagement/volunteerism/partnership,52										The number of students enrolled in all the Social Sciences in Interdisciplinary studiesdisciplines last year,English
Social Work,Laurentian University,"Bachelor of Social Work, BSW",70%,Field placement,Open,English
Social Work,Carleton University,"Bachelor of Social Work, BSW",75–80%,Practicum or internship option available,40,English
Social Work,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Social Work, BSW",Low 80s,Field placement,220,English
Social Work,University of Windsor,"Bachelor of Social Work, BSW",70–84%,Practicum or internship option available,110										Total enrollment for all programs in the School of Social Work,English
Social Work (BSW),Wilfrid Laurier University – Brantford Campus,"Bachelor of Social Work, BSW",High 70s,Field placement,351										(all Faculty of Social Work programs combined),English
"Social Work (BSW, Direct Entry)",York University,"Bachelor of Social Work, BSW",Mid-80s,Practicum or internship option available,175										Open,English
Social Work (Brampton) (BSW 4 year),Algoma University,"Bachelor of Social Work, BSW",70%,Field placement,Open,English
Social Work (Honours),Trent University – Durham Greater Toronto Area,"Bachelor of Social Work, BSW",70%,Co-op or internship option available,80,English
Social Work (Honours),Trent University,"Bachelor of Social Work, BSW",70%,Practicum or internship option available,80,English
Social Work (Thunder Bay and Orillia),Lakehead University,"Bachelor of Social Work, BSW",70%,Practicum or internship option available,Open Enrollment,English
"Social communication (Certificate, Part-time Only) (1 year)",University of Ottawa – Saint Paul University,"Certificate, Cert",70% min.,Class-based experiential education,Open,English
Sociology,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Not Available,200,English
Sociology,Brock University,"Bachelor of Arts, BA
Diploma, Dipl.",Mid-70s,Not Available,"1,364										(total for all Social Science programs)",English
Sociology,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Sociology,University of Windsor,"Bachelor of Arts, BA",70-84% minimum,Not Available,N/A,English
Sociology,Laurentian University,"Bachelor of Arts, BA",70%,Faculty research opportunity,Open,English
Sociology (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Arts (Co-op), BA (Co-op)
Bachelor of Social Science, BSocSc",+/- 75 %; co-op 80%,Co-op option available with this program,61,English
Sociology (BA 3 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Sociology (BA 4 year),Algoma University,"Bachelor of Arts, BA",65%+,Co-op or internship application available at the university after registration,This is an open enrollment program. First-year admissions are not capped.,English
Sociology (BA),York University,"Bachelor of Arts, BA",Mid- to High 70s,Practicum or internship option available,125										Open,English
Sociology (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Class-based experiential education,400										(total for all programs),English & French
Sociology (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",N/A,Co-op program,50,English
Sociology (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Co-op available by application after first year of studies,150,English
Sociology (Thunder Bay and Orillia),Lakehead University,"Bachelor of Arts, BA",70%,Not Available,Open Enrollment,English
Sociology and Business,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Not Available,200,English
Sociology and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Software Engineering,Ontario Tech University,"Bachelor of Engineering, BEng
Bachelor of Engineering and Management, BEng&Mgt",Mid-70s,Co-op or internship option available,500,English
Software Engineering (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)",+/- 87 %,Co-op program,167										Maximum enrollment,English
Software Engineering (Co-op Only),University of Waterloo,"Bachelor of Software Engineering, BSE",Low- to mid-90s,Co-op program,125,English
Software Engineering (Co-op),Ontario Tech University,"Bachelor of Engineering (Co-op), BEng (Co-op)
Bachelor of Engineering & Management (Co-op), BEng&Mgt (Co-op)",Mid 70s,Co-op program,500,English
Software Engineering (co-op and regular),University of Guelph,"Bachelor of Computing, BComp",87 to 91%,Co-op option available with this program,N/A,English
Software Engineering - Co Op,Trent University,"Bachelor of Science, BSc",85 to 90%,Co-op program,15,English
Spanish and Latin American Cultures & Societies,York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Class-based experiential education,400										(total for all programs),English & French
Speech and Language Sciences (BA),York University,"Bachelor of Arts, BA",Low 80s,Practicum or internship option available,Open,English
Sport Management,Brock University,"Bachelor of Sport Management, BSM",High 80s,Practicum or internship option available,817										(total all Applied Health Sciences programs),English
Sport Management (BSM),York University – Markham Campus,"Bachelor of Sport Management, BSM",Low to mid 80s,Co-op or internship option available,50,English
Sport Media,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",High 80s,Practicum or internship option available,75,English
Sport Psychology,Laurentian University,"Bachelor of Arts, BA",75%,Practicum or internship option available,Open,English
Sports Administration,Laurentian University,"Bachelor of Commerce, BCom",75%,Practicum or internship option available,Open,English
Statistics (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78 %; co-op 80%,Co-op option available with this program,32,English
Statistics (BA),York University,"Bachelor of Arts, BA",High 70s to mid-80s,Co-op or internship option available,25										Open,English
Statistics (BSc),York University,"Bachelor of Science, BSc",High 70s to mid-80s,Not Available,25										Open,English
Statistics (regular and co-op),University of Toronto Scarborough,"Bachelor of Science, BSc","High 80s (regular), high 80s (co-op)",Co-op option available with this program,150,English
"Strategic Communications, Social Media & Society",Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,N/A,English
"Strategic Communications, Social Media & Society (Co-op)",Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Studies in Arts and Culture,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,618										(total for all Humanities programs),English
